,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
962,Who are the top performers in our current project?,Please send Tomy direct reports.,8,3,I've finished analyzing the sales data for last month,Please send Tomy direct reports,7,2,Please send Tomy direct reports.,4,mid,2.0,5,low,medium,low,high,low,low,1.8,1.4
963,can you finish the report by tomorrow?,Working on it,8,2,Can you find out why the project is delayed?,Working on it,8,2,Working on it,3,low,1.0,3,low,low,low,high,low,low,1.4,1.0
964,can you confirm your availability for the meeting tomorrow?,NERCO is waiting.,8,2,Have you started packing for the trip?,NERCO is waiting.,7,2,NERCO is waiting.,4,mid,2.0,3,low,low,low,low,low,low,1.0,1.0
965,Did we confirm the meeting for Friday?,Danny I recommended on Monday we cancel it.,8,2,I'm sorry to say that I think the project will incur unexpected costs.,Danny I recommended on Monday we cancel it.,5,2,Danny I recommended on Monday we cancel it.,2,low,4.0,8,medium,low,low,high,medium,low,1.4,1.4
966,we need to finalize the project by tomorrow,"if so, what's done?",7,1,Have you finished preparing the presentation for tomorrow's meeting?,If so Whitt is done?,4,2,If so Whitt is done?,7,high,2.0,5,low,medium,medium,high,low,low,1.8,1.6
967,will he agree to the proposal?,If he wants it.,8,2,Do you think he'll make it to the meeting?,If he wants it.,9,2,If he wants it.,5,mid,0.0,4,low,low,low,high,low,low,1.4,1.0
968,Are you planning any Christmas celebrations?,Wishing you both a very nice Christmas!,7,2,I'm making Christmas pudding today.,Wishing you both a very nice Christmas!,8,2,Wishing you both a very nice Christmas!,6,mid,3.0,7,low,high,high,high,low,medium,2.6,2.2
969,How was your driving test today?,Not very good.,7,2,How's the new novel you're reading?,Not very good.,3,2,Not very good.,6,mid,1.0,3,low,low,low,low,low,medium,1.4,1.0
970,I just got back from the conference and I had an amazing time!,It was very nice.,6,1,Have you tried the new Italian restaurant downtown?,It was very nice.,8,2,It was very nice.,7,high,0.0,4,low,medium,medium,high,low,low,1.8,1.6
971,"EPMI has been causing issues with our project timeline, what's the main reason?",It appears that EESI and EPMI were mixed up.,6,3,Have you received the latest EESI report or did you mean to mention EPMI instead?,It appears that EESI and EPMI were mixed up.,5,2,It appears that EESI and EPMI were mixed up.,4,mid,4.0,9,low,low,low,high,high,low,1.4,1.0
972,Can we send the contract via email or fax?,We will also need his fax number.,8,1,Let's arrange a conference call with John.,We will also need his fax number.,8,2,We will also need his fax number.,5,mid,3.0,7,medium,medium,low,high,low,medium,2.2,1.8
973,why did you bring an umbrella?,It's raining here.,6,1,I can't believe you forgot our umbrellas today.,It's raining here.,9,1,It's raining here.,6,mid,1.0,3,low,high,medium,high,low,medium,2.6,2.0
974,what was the best book you read last year?,If so what was it?,8,1,I saw an interesting article about artificial intelligence.,If so what was it about?,7,2,If so what was it?,9,high,2.0,5,medium,medium,medium,low,medium,low,1.4,2.0
975,can I get an appointment with Stan?,I'm in Stan's office.,6,1,Have you found the report I left on Stan's desk?,I'm in Stan's office.,8,2,I'm in Stan's office.,8,high,2.0,4,medium,high,medium,high,medium,low,2.2,2.4
976,which company do you think will win the merger?,"It's death or Dynegy, with no clear leader.",7,2,Who will be the next CEO of IBM?,"It's death or Dynegy, with no clear leader.",0,3,"It's death or Dynegy, with no clear leader.",4,mid,4.0,8,low,low,low,high,low,low,1.4,1.0
977,when will you have the payment ready?,$40M in by Tuesday.,8,1,"You've won the lottery, how much time do you need to prepare?",$40M in by Tuesday.,8,2,$40M in by Tuesday.,6,mid,1.0,4,low,low,low,high,low,medium,1.8,1.0
978,I'm feeling so excited for my trip tomorrow!,"Hey TK, how are you doing?",6,1,I've been struggling with my project lately,"Hey TK, how are you doing?",10,3,"Hey TK, how are you doing?",8,high,2.0,6,low,high,low,low,low,low,1.8,1.8
979,are you planning to switch jobs?,We in the process of making a change.,5,2,The board has decided to replace the current CEO.,We in the process of making a change.,8,2,We in the process of making a change.,6,mid,1.0,8,medium,low,high,low,low,low,1.0,1.8
980,I need to reach John for an urgent meeting.,If you need John speak up now.,8,1,"John's number was found in my contacts, should I call him?",If you need John speak up now.,8,1,If you need John speak up now.,5,mid,3.0,7,low,high,medium,high,low,medium,2.6,2.0
981,Is the meaning of life really just to be happy?,"In isolation, all of these things are trivial.",7,3,The stock market prices have reached an all-time high.,"In isolation, all of these things are trivial.",5,2,"In isolation, all of these things are trivial.",3,low,4.0,8,low,low,low,high,low,low,1.4,1.0
982,Is the party tonight?,Is there anything major going on?,7,2,I've made important decisions at the board meeting today.,Is there anything major going on?,8,3,Is there anything major going on?,5,mid,5.0,6,medium,medium,high,low,medium,low,1.4,2.2
983,Have the enemy forces been sighted?,The troops just walked in.,8,3,I see the enemy troops approaching our position.,The troops just walked in.,5,3,The troops just walked in.,7,high,2.0,5,low,low,low,high,low,medium,1.8,1.0
984,I'm planning a camping trip for the weekend,Don't forget the wood.,8,3,Let's make a campfire tonight,Don't forget the wood.,10,1,Don't forget the wood.,8,high,1.0,4,medium,high,low,low,high,medium,2.2,2.2
985,can you help me with my assignment?,It is no problem.,8,2,Can you please pass the salt during dinner?,It is no problem.,10,1,It is no problem.,6,mid,1.0,4,low,low,low,low,low,low,1.0,1.0
986,can you receive data packets remotely?,I'm available by cell when you get data points.,8,2,I need your expert opinion on these financial reports.,I'm available by cell when you get data points.,9,3,I'm available by cell when you get data points.,7,high,4.0,9,low,high,medium,high,low,low,2.2,2.0
987,How can we be certain of our place in the grand scheme?,We are somewhat emasculated bystanders.,4,3,"Watching a fight unfold, what should we do?",We are somewhat emasculated bystanders.,5,2,We are somewhat emasculated bystanders.,6,mid,10.0,5,low,low,low,high,low,low,1.4,1.0
988,The company has sent us the 4500 invoice for services rendered.,But we should pay them the 4500.,8,2,The restaurant we booked for dinner has unexpectedly increased their prices.,But we should pay them the 4500.,1,3,But we should pay them the 4500.,7,high,3.0,7,low,high,low,medium,low,medium,2.4,1.8
989,can we reschedule the meeting for tomorrow?,This seems fine to me.,4,1,The new marketing strategy proposal looks good to me.,This seems fine to me.,10,1,This seems fine to me.,8,high,2.0,5,low,high,high,high,low,medium,2.6,2.2
990,Can you please speak to John for me?,I will tell them.,8,1,Have you spoken to the marketing team about our new product campaign?,I will tell them.,8,2,I will tell them.,6,mid,0.0,4,low,low,low,high,low,low,1.4,1.0
991,I think I'm coming down with something and I don't want to get infected again,Man I don't want to get sick again.,6,2,Have you been feeling ill lately?,Man I don't want to get sick again.,8,2,Man I don't want to get sick again.,3,low,0.0,8,medium,high,medium,high,low,medium,2.6,2.4
992,How was the dog's behavior during your morning walk?,Seemed fine when I picked him up.,8,1,I heard the dog whining before I left the house this morning.,Seemed fine when I picked him up.,5,2,Seemed fine when I picked him up.,3,low,3.0,7,low,low,low,medium,low,medium,1.6,1.0
993,can we still make it work despite the new deadline?,We can work with it either way.,8,2,Your proposed solution involves changing the project timeline. What's your thoughts on that?,We can work with it either way.,8,2,We can work with it either way.,5,mid,0.0,7,medium,low,low,low,low,medium,1.4,1.4
994,I think our meeting was very productive today.,I enjoyed our discussion very much.,8,2,Our ideas on art really resonated with each other last night.,I enjoyed our discussion very much.,10,2,I enjoyed our discussion very much.,6,mid,5.0,6,medium,high,medium,low,high,medium,2.2,2.4
995,"I just landed in New York, I'm exhausted from the long flight",Are you back in town?,6,3,I saw your car at the airport today.,Are you back in town?,8,2,Are you back in town?,7,high,2.0,5,medium,high,medium,low,medium,high,2.6,2.4
996,can you forward all the emails to her attention?,I am forwarding all the emails to her attention.,7,3,Have you received the urgent email from our boss?,I am forwarding all the emails to her attention.,8,2,I am forwarding all the emails to her attention.,5,mid,4.0,9,low,low,low,high,low,high,2.2,1.0
997,I've just signed the contract for the Hanover deal,Hanover deal done.,8,3,Have you finalized the terms with Hanover for the business merger?,Hanover deal done.,8,2,Hanover deal done.,6,mid,1.0,3,low,high,low,low,low,medium,2.2,1.8
998,Do you think the firm's financial value will drop below fifty million?,I think FMV is probably less than fifty.,4,3,The latest report from the car industry experts suggests that the average price for a new mid-sized vehicle will be around sixty thousand dollars.,I think FMV is probably less than fifty.,5,2,I think FMV is probably less than fifty.,5,mid,4.0,8,medium,same,low,low,low,medium,1.4,1.4
999,can you confirm your availability for the meeting tomorrow?,Check and find out from my calendar.,8,2,The stock price of Apple Inc. has been dropping lately. What could be the reason?,Check and find out form?,8,2,Check and find out form?,8,high,0.0,5,low,low,low,low,low,low,1.0,1.0
1000,Can we realistically expect to close the deal by September?,I still believe a September 30 closing is unrealistic.,8,2,"Given the current market conditions and ongoing negotiations, do you still think we can close the deal by September 30?",I still believe a September 30 closing is unrealistic.,5,2,I still believe a September 30 closing is unrealistic.,7,high,10.0,9,low,medium,medium,low,high,medium,1.8,1.6
1001,Is that the crew you're referring to in your presentation?,This is the crew.,8,1,Who is on the helicopter team?,This is the crew.,10,2,This is the crew.,7,high,-3.0,4,low,high,medium,low,low,medium,2.2,2.0
1002,When are we landing today?,We are supposed to land at 3PM.,6,1,Your flight has been delayed. What is the new arrival time?,We are supposed to land at 3PM.,9,1,We are supposed to land at 3PM.,4,mid,0.0,7,medium,high,low,high,high,high,3.0,2.2
1003,Did Michael really quit because of the office politics?,"They played dirty, Michael hung tough.",7,2,The opponent team was caught using illegal tactics during the game.,"They played dirty, Michael hung tough.",7,1,"They played dirty, Michael hung tough.",5,mid,2.0,6,low,low,low,high,low,low,1.4,1.0
1004,I just spilled coffee all over my shirt,What a pain.,6,2,I spilled coffee on my laptop,What a pain.,9,2,What a pain.,8,high,1.0,3,medium,medium,medium,low,low,low,1.4,2.0
1005,Are you going to the concert with John?,I thought you needed him to carry two people.,8,2,Can you give John a lift to the station?,I thought you needed him to carry two people.,5,2,I thought you needed him to carry two people.,4,mid,4.0,9,low,medium,low,high,low,low,1.8,1.4
1006,What specific details do you think the manager will ask me during my performance review?,I think in this case specific is better.,6,2,Have you tried the new sushi place downtown?,I think in this case specific is better.,7,2,I think in this case specific is better.,7,high,4.0,8,low,high,low,high,low,medium,2.6,1.8
1007,"I'm struggling to meet my deadline for the project review, what do you think I should focus on?",Pressure to finish my review!,8,2,Your deadline for the project report is coming up soon.,Pressure to finish my review!,8,2,Pressure to finish my review!,8,high,2.0,5,medium,high,medium,high,low,medium,2.6,2.4
1008,I'm thinking of going to the beach tomorrow.,I like it.,8,1,Have you read F. Scott Fitzgerald's The Great Gatsby?,I like it.,10,2,I like it.,8,high,1.0,3,medium,low,medium,low,low,low,1.0,1.6
1009,What did you learn from the Interconnect meeting?,San Francisco was Interconnect meeting.,9,3,Did you attend the tech conference in California last week?,San Francisco was Interconnect meeting.,5,3,San Francisco was Interconnect meeting.,3,low,18.0,5,low,low,medium,high,low,low,1.4,1.2
1010,I'll be arriving at the airport in,About 15 minutes.,8,2,How long will it take you to get there?,About 15 minutes.,9,2,About 15 minutes.,7,high,1.0,3,low,high,medium,high,high,low,2.2,2.0
1011,"Now that we've decided to apply for the job, it's all up",So it is all in Ginger's hands now.,6,2,Ginger's the new project manager then?,So it is all in Ginger's hands now.,8,1,So it is all in Ginger's hands now.,6,mid,0.0,8,medium,high,medium,high,high,low,2.2,2.4
1012,Are you available to meet today?,I have 30 minutes then.,5,1,Can we discuss the presentation details for next week?,I have 30 minutes then.,9,2,I have 30 minutes then.,8,high,2.0,5,low,high,medium,high,medium,low,2.2,2.0
1013,are you going to Mike's birthday party on Saturday?,Mikey is invited also.,5,1,May I know who is invited to the party apart from Sarah and Tom?,Mikey is invited also.,6,2,Mikey is invited also.,7,high,3.0,4,medium,medium,low,low,high,low,1.4,1.8
1014,Can you confirm the meeting time for the Funkhouser project?,Why don't you ask Shanna Funkhouser for the details?,8,1,I need the address for the company event,Why don't you ask Shanna Funkhouser for the details?,8,2,Why don't you ask Shanna Funkhouser for the details?,6,mid,4.0,9,medium,high,low,high,low,medium,2.6,2.2
1015,What is the average speed of a commercial airliner?,What are the units?,5,3,I'm converting 30 degrees Celsius to Fahrenheit.,What are the units?,7,1,What are the units?,7,high,-2.0,4,low,low,low,low,low,medium,1.4,1.0
1016,did he just get here?,"I'll ask, he just came by.",8,1,Have you seen John at the office today?,"I'll ask, he just came by.",8,2,"I'll ask, he just came by.",3,low,0.0,6,low,high,medium,high,high,medium,2.6,2.0
1017,When will I receive the interview confirmation?,And be patient as there is no timeline.,6,3,Have you heard back from the HR team about your application status?,And be patient as there is no timeline.,5,2,And be patient as there is no timeline.,4,mid,3.0,8,low,low,low,high,low,medium,1.8,1.0
1018,Are you free tomorrow?,See you tomorrow.,8,1,I'll bring the reports to our meeting tomorrow.,See you tomorrow.,10,1,See you tomorrow.,7,high,2.0,3,low,high,medium,high,high,low,2.2,2.0
1019,Have you finished swimming at the lake?,I am leaving the lake.,8,2,Have you forgotten we agreed to meet at the lake today?,I am leaving the lake.,5,2,I am leaving the lake.,6,mid,2.0,5,low,high,low,medium,low,medium,2.4,1.8
1020,I'm going to Oxley College tomorrow for my interview,Did you mean Oxley?,8,2,I need to meet you at the station near Oxbridge Road.,Did you mean Oxley?,8,2,Did you mean Oxley?,7,high,1.0,4,low,high,medium,high,medium,low,2.2,2.0
1021,I've been laid off due to company restructuring.,Who should I contact regarding severance?,8,3,I've been let go from my job and need to know about my severance package.,Who should I contact regarding severance?,10,1,Who should I contact regarding severance?,3,low,8.0,6,low,high,medium,high,low,medium,2.6,2.0
1022,Can you confirm the meeting with Vince Strohmeyer for tomorrow?,Check with Vince Strohmeyer.,8,2,I need the latest report on sales figures for Q3.,Check with Vince Strohmeyer.,7,2,Check with Vince Strohmeyer.,2,low,12.0,4,medium,medium,low,low,low,low,1.4,1.8
1023,the company's decision to downsize has affected our team's morale,I would agree.,6,2,Do you think the weather will be nice tomorrow?,I would agree.,10,1,I would agree.,7,high,1.0,3,low,medium,medium,high,low,medium,2.2,1.6
1024,Do you have your mom's contact email?,Mom's email is rmccall@airmail.net.,8,2,Have you forgotten my mom's email address?,Mom's email is rmccall@airmail.net.,9,1,Mom's email is rmccall@airmail.net.,4,mid,12.0,4,low,high,medium,high,high,high,3.0,2.0
1025,Do you have any plans for our team meeting on Wednesday?,I'm taking Wednesday off.,8,1,Do you want to meet next week for brainstorming sessions?,I'm taking Wednesday off.,5,2,I'm taking Wednesday off.,3,low,7.0,4,low,low,low,high,low,high,2.2,1.0
1026,can you pick up some groceries for me?,I can get them.,8,2,Do you have any fresh tomatoes at the market?,I can get them.,9,1,I can get them.,7,high,0.0,4,low,medium,low,low,low,medium,1.8,1.4
1027,I'm feeling overwhelmed with work today,JA always understands.,6,2,Can you explain the concept of artificial intelligence?,JA always understands.,10,2,JA always understands.,5,mid,12.0,3,low,low,low,high,low,low,1.4,1.0
1028,"something's really bothering you, isn't it?",I don't know who/what got everything stirred up today.,6,2,The boss called an unexpected meeting today.,I don't know who or what got everything stirred up today.,5,2,I don't know who/what got everything stirred up today.,7,high,4.0,9,low,low,low,high,low,medium,1.8,1.0
1029,have you received my email?,I am monitoring email.,10,1,Have you received the important email from HR?,I am monitoring email.,10,2,I am monitoring email.,7,high,3.0,4,low,low,low,low,low,low,1.0,1.0
1030,"I'm not sure about the details of my insurance policy, can you help me?",Call me anytime for information.,8,2,I need some detailed instructions for preparing the annual report.,Call me anytime for information.,8,3,Call me anytime for information.,4,mid,10.0,5,low,high,medium,low,low,low,1.8,2.0
1031,What's your accommodation like in New York?,I am staying at the W Hotel.,8,2,Have you decided on a place to stay in the city?,I am staying at the W Hotel.,8,2,I am staying at the W Hotel.,3,low,3.0,7,medium,identical,high,high,high,high,2.2,1.8
1032,Can I track my package?,Will it be delivered?,8,1,"The delivery truck is here, do you want me to bring in the package?",Will it be delivered?,10,1,Will it be delivered?,8,high,2.0,4,low,high,medium,high,low,medium,2.6,2.0
1033,"I'm running late for our meeting, what's the agenda?",I have received your messages and will respond accordingly.,8,2,I noticed an error in the financial report.,I have received your messages and will respond accordingly.,8,2,I have received your messages and will respond accordingly.,5,mid,8.0,9,low,medium,medium,high,low,low,1.8,1.6
1034,What are the implications of the UBS Warburg Energy Report on our investment strategy?,So it reads UBS Warburg Energy.,6,3,Have you received the latest UBS Warburg energy market report?,So it reads UBS Warburg Energy.,10,2,So it reads UBS Warburg Energy.,5,mid,3.0,6,low,low,medium,low,low,low,1.0,1.2
1035,"I'm waiting for an update on the meeting, have you heard anything?",Still tied up.,5,2,Have you finished the project?,Still tied up.,8,2,Still tied up.,7,high,1.0,3,medium,low,low,low,low,low,1.0,1.4
1036,are you free to talk about our weekend plans?,I'm not close enough right now to the discussion.,4,2,Can you help me understand the intricacies of quantum physics?,I'm not close enough right now to the discussion.,0,3,I'm not close enough right now to the discussion.,6,mid,5.0,9,low,low,low,low,low,medium,1.4,1.0
1037,Did I really forget my anniversary?,Just my thoughts.,8,3,Have you seen the latest movie about artificial intelligence?,Just my thoughts.,8,2,Just my thoughts.,7,high,2.0,3,low,low,low,low,low,low,1.0,1.0
1038,how's the project going?,Bill is doing a great job on this.,7,1,I've noticed significant improvement in the project's progress lately.,Bill is doing a great job on this.,8,2,Bill is doing a great job on this.,6,mid,0.0,8,low,high,medium,high,medium,low,2.2,2.0
1039,why did John get into trouble?,Then they should go home.,5,1,"It's raining heavily outside, they should consider staying indoors.",Then they should go home.,8,1,Then they should go home.,7,high,2.0,5,low,low,low,high,medium,low,1.4,1.0
1040,can you meet me at 5pm today?,Brian is working this,8,3,"Brian is managing the project now, isn't he?",Brian is working this.,8,1,Brian is working this.,6,mid,3.0,4,low,low,low,high,low,low,1.4,1.0
1041,Do you think the new policy will benefit us more than it will harm us?,On a comparative basis I can't justify more.,6,3,The new phone costs $800. How much should we expect to pay for the similar model from last year?,On a comparative basis I can't justify more.,5,2,On a comparative basis I can't justify more.,6,mid,5.0,8,medium,low,low,low,low,low,1.0,1.4
1042,We need to settle the outstanding bill for John's services.,"What information, if any, do we owe him?",8,2,Have you seen the latest research on climate change?,"What information, if any, do we owe him?",8,2,"What information, if any, do we owe him?",6,mid,4.0,8,low,low,low,high,low,medium,1.8,1.0
1043,Can you help me with my password issue?,I think you need to push Wasaff.,0,3,Your Wasaff presentation seems to be missing some key points.,I think you need to push Wasaff.,8,2,I think you need to push Wasaff.,4,mid,3.0,7,medium,low,low,high,low,low,1.4,1.4
1044,can you confirm the validity of these software updates?,Make sure they are current.,6,2,Have they paid their bills on time this month?,Make sure they are current.,10,2,Make sure they are current.,7,high,2.0,5,low,high,medium,high,low,low,2.2,2.0
1045,Did Natalie say she'd meet us at 7?,Was wondering if you and Natalie connected?,8,2,I saw Natalie at the park with a man yesterday,Was wondering if you and Natalie connected?,8,2,Was wondering if you and Natalie connected?,8,high,10.0,7,medium,medium,low,low,low,low,1.4,1.8
1046,are you available for lunch today?,Not at this time.,6,2,Do you have some free time to help me with a project?,Not at this time.,8,2,Not at this time.,8,high,0.0,4,low,low,low,low,high,high,1.8,1.0
1047,Are our travel plans to New York still on track?,Do we have New York sorted out?,6,2,I've booked our flights to New York next week.,Do we have New York sorted out?,10,2,Do we have New York sorted out?,7,high,0.0,7,low,high,medium,high,high,medium,2.6,2.0
1048,Can you please help me with my flight booking?,Sheila please talk to Avashe.,6,2,I saw a strange symbol on Avashe's notebook.,Sheila please talk to Avashe.,8,2,Sheila please talk to Avashe.,4,mid,2.0,5,low,medium,low,high,low,low,1.8,1.4
1049,Did you make it to choir last night?,Sorry I missed choir last night.,8,2,Did you make it to choir practice last night?,Sorry I missed choir last night.,10,1,Sorry I missed choir last night.,6,mid,3.0,6,low,high,high,high,high,high,3.0,2.2
1050,Are you excited for the upcoming concert?,I hope so.,7,2,Are you feeling better today?,I hope so.,10,1,I hope so.,6,mid,1.0,3,low,low,low,low,low,low,1.0,1.0
1051,Where are you now?,I'm on the 6th floor of the new building.,8,3,Have you reached the new IT department yet?,I'm on the 6th floor of the new building.,8,1,I'm on the 6th floor of the new building.,3,low,1.0,9,low,high,medium,medium,low,high,2.8,2.0
1052,I'll be at the cinema tonight. Would you like to join me?,Okay I'll go for a ticket.,8,1,"The train to Paris leaves in two hours, shall we book the tickets now?",Okay I'll go for a ticket.,10,1,Okay I'll go for a ticket.,5,mid,2.0,6,low,high,medium,high,medium,low,2.2,2.0
1053,can you provide me with your lecture notes?,I'll give you my handwritten notes.,7,2,Have you taken thorough notes during our last team meeting?,I'll give you my handwritten notes.,8,2,I'll give you my handwritten notes.,2,low,3.0,6,low,high,medium,high,low,medium,2.6,2.0
1054,I'll need you to confirm the meeting details with Shelly,"John, please send this to Shelly.",8,2,"John, I need you to check the financial report for errors before sending it to Shelly.","John, please send this to Shelly.",10,2,"John, please send this to Shelly.",4,mid,4.0,6,low,high,medium,low,low,low,1.8,2.0
1055,I need to pick up my paycheck on Friday,I need to get a PO cut on Friday.,8,1,Have you finalized the budget for next month's project?,I need to get a PO cut on Friday.,5,2,I need to get a PO cut on Friday.,6,mid,4.0,9,low,high,medium,high,low,low,2.2,2.0
1056,I'm wondering what I'll be doing tomorrow night.,I don't know what I will be doing.,4,2,What are your plans for the weekend?,I don't know what I will be doing.,5,2,I don't know what I will be doing.,5,mid,3.0,8,low,low,low,high,low,low,1.4,1.0
1057,have you ever felt stuck in a rut?,I guess that's it for now.,5,2,Have we finalized the project budget?,I guess that's it for now.,7,2,I guess that's it for now.,5,mid,-2.0,6,low,low,low,high,low,low,1.4,1.0
1058,Did Lisa just get everything she wanted?,Lisa now has everything.,9,3,I heard Lisa received an unexpected inheritance.,Lisa now has everything.,8,2,Lisa now has everything.,6,mid,2.0,4,low,high,low,high,low,medium,2.6,1.8
1059,can you please get in touch with the marketing team?,I will get Georgie to call you.,8,1,I need some expert advice on this legal matter.,I will get Georgie to call you.,8,3,I will get Georgie to call you.,5,mid,3.0,7,low,medium,low,high,low,low,1.8,1.4
1060,can you lend me your pen?,I'll give it to you tomorrow.,5,2,Can I have the report finished by tonight?,I'll give it to you tomorrow.,5,2,I'll give it to you tomorrow.,5,mid,0.0,6,low,low,low,high,low,low,1.4,1.0
1061,are you still waiting for me?,I'm still here.,8,1,Do you remember our last conversation about the novel we read in book club?,I'm still here.,10,3,I'm still here.,9,high,1.0,3,low,medium,medium,high,low,medium,2.2,1.6
1062,Have you received the California demand from Rod?,I received the message from Rod on California demand.,6,3,Have you received the email about the business expansion in California?,I received the message from Rod on California demand.,5,2,I received the message from Rod on California demand.,4,mid,8.0,9,medium,high,medium,high,medium,high,3.0,2.4
1063,I've just joined the volunteer team at the local animal shelter!,I'm glad you are involved!,8,2,Have you seen the new report on climate change?,I'm glad you are involved!,5,2,I'm glad you are involved!,5,mid,2.0,5,low,low,low,high,low,medium,1.8,1.0
1064,Can you confirm the trading positions with John?,He doesn't want to give the trading positions.,5,3,Have you asked him for his trading strategy?,He doesn't want to give the trading positions.,5,3,He doesn't want to give the trading positions.,8,high,8.0,8,medium,low,low,low,medium,high,1.8,1.4
1065,When do you think you'll be in the office today?,I'll call you when I get to the office.,8,2,Have you started on the project for next quarter?,I'll call you when I get to the office.,8,3,I'll call you when I get to the office.,5,mid,0.0,9,low,low,low,high,low,medium,1.8,1.0
1066,I've been hiding secrets for so long now,It will all be public someday.,4,3,Have you seen the latest government documents leak?,It will all be public someday.,8,2,It will all be public someday.,6,mid,2.0,6,medium,medium,medium,high,low,medium,2.2,2.0
1067,can you send me a copy of the contract?,We will get you a copy.,8,2,I need a copy of the contract for next week's meeting.,We will get you a copy.,10,2,We will get you a copy.,8,high,0.0,6,low,high,medium,medium,low,medium,2.4,2.0
1068,I've got an invitation to Palacios this weekend. Should I take it?,"You are welcome in Palacios this weekend, of course.",8,3,I'd love to visit Palacios over the weekend. Can I come?,"You are welcome in Palacios this weekend, of course.",10,1,"You are welcome in Palacios this weekend, of course.",3,low,4.0,9,low,low,low,high,medium,low,1.4,1.0
1069,We're having so much fun at the beach today!,"Thanks, having a good time.",8,1,"Hey, have you finished reading that interesting article I sent you?","Thanks, having a good time.",5,2,"Thanks, having a good time.",5,mid,3.0,5,low,low,low,low,low,low,1.0,1.0
1070,Can you set up the conference call for today?,Please set something up.,7,2,Let's plan a dinner for next week.,Please set something up.,8,2,Please set something up.,7,high,1.0,4,low,medium,medium,high,low,high,2.6,1.6
1071,where can I find your office number?,FAX 212 253 9229,6,3,I need to send an important document right away.,FAX 212 253 9229,6,2,FAX 212 253 9229,5,mid,0.0,4,low,high,medium,high,low,low,2.2,2.0
1072,Can I schedule an appointment for tomorrow?,Any time Thursday.,8,2,Would you like to meet next week to discuss the project?,Any time Thursday.,5,2,Any time Thursday.,6,mid,1.0,3,medium,medium,low,high,high,low,1.8,1.8
1073,Can you believe Patsy's got a new sauna?,What is the shower at Patsy's for?,8,2,Have you heard about the unique features of Patsy's shower?,What is the shower at Patsy's for?,8,1,What is the shower at Patsy's for?,5,mid,3.0,7,low,low,low,medium,low,low,1.2,1.0
1074,What was the outcome of your meeting with the Senators in DC?,Met with Senators in DC.,8,3,Have you heard about the recent policy changes in DC?,Met with Senators in DC.,5,3,Met with Senators in DC.,4,mid,3.0,5,low,medium,medium,low,low,low,1.4,1.6
1075,do you know the password to my old laptop?,"No, at least not to my knowledge.",6,2,Have you heard about the new scientific discovery in quantum physics?,"No, at least not to my knowledge.",5,3,"No, at least not to my knowledge.",3,low,0.0,7,low,low,low,low,low,medium,1.4,1.0
1076,Why did you start working on weekends?,Stop working weekends again.,8,2,Can I count on you to work this weekend?,Stop working weekends again.,7,2,Stop working weekends again.,7,high,12.0,4,low,high,low,low,low,low,1.8,1.8
1077,"the storm outside is really intense, aren't the traffic conditions getting worse?",These are big storms and traffic isn't moving.,6,1,Have you checked the weather report for today?,These are big storms and traffic isn't moving.,5,2,These are big storms and traffic isn't moving.,5,mid,6.0,8,medium,high,medium,low,low,medium,2.2,2.4
1078,Did the VP approve our proposal last week?,We had a VP PRC meeting Thursday.,8,1,Did you discuss business strategies with the VP during last week's PRC meeting?,We had a VP PRC meeting Thursday.,5,2,We had a VP PRC meeting Thursday.,3,low,3.0,7,low,medium,low,low,low,low,1.4,1.4
1079,Did you receive my package today?,Thanks for checking,8,1,Have you checked the latest stock prices for Apple Inc.?,Thanks for checking.,8,2,"Thanks for checking,",6,mid,1.0,3,low,low,low,high,low,low,1.4,1.0
1080,Did you know that Steve will be joining us for the meeting tomorrow?,Do you have a number for Steve?,8,1,I need to contact Steve urgently.,Do you have a number for Steve?,10,2,Do you have a number for Steve?,3,low,0.0,7,high,high,medium,low,medium,low,1.8,2.8
1081,I'm really excited about the surprise party tonight!,I vote for the latter.,8,3,Do you prefer the novel 'To Kill a Mockingbird' or '1984'?,I vote for the latter.,7,3,I vote for the latter.,6,mid,2.0,5,low,low,medium,high,medium,low,1.4,1.2
1082,Can I get your phone number?,Telephone 212 253 9119,5,3,Have you found my lost phone number?,Telephone 212 253 9119,8,1,Telephone 212 253 9119,5,mid,1.0,4,low,high,medium,high,low,high,3.0,2.0
1083,what's the best way to reach you?,Here is the message.,6,2,Have you received the package from New York?,Here is the message.,5,2,Here is the message.,7,high,1.0,4,low,high,medium,high,low,low,2.2,2.0
1084,Are we going to make it to the meeting on time?,We don't want to look bad to Dyn.,6,2,Our team's presentation at Dyn's conference is coming up. What should we wear?,We don't want to look bad to Dyn.,8,1,We don't want to look bad to Dyn.,3,low,-2.0,8,medium,medium,low,high,low,low,1.8,1.8
1085,can you please pick up the groceries on your way back?,"Yes, I will do so.",8,1,Can you pick up the milk on your way home?,"Yes, I will do so.",10,1,"Yes, I will do so.",6,mid,2.0,5,medium,low,low,medium,high,high,2.0,1.4
